"parameter","post_mean","post_sd","ci_lower","ci_upper","r_hat","r_hat_upper","ess"
"glioma_tumor : (Intercept)",0.4501,0.1267,0.1979,0.6951,1.0018,1.0054,1594
"glioma_tumor : skewness",4.7444,0.353,4.0669,5.4375,1.0012,1.0027,1838
"glioma_tumor : kurtosis",-5.215,0.3057,-5.815,-4.6161,1.0013,1.0029,1860
"glioma_tumor : energy",-0.4232,0.1229,-0.6702,-0.1904,1.0022,1.0067,1626
"glioma_tumor : entropy",-0.1412,0.1774,-0.489,0.2071,1.0017,1.0051,1580
"glioma_tumor : contrast",-3.5682,0.264,-4.0917,-3.0595,1.0016,1.005,1738
"glioma_tumor : correlation",-2.1686,0.1364,-2.4337,-1.9005,1.0022,1.0058,1745
"glioma_tumor : glcm_energy",0.5779,0.2334,0.1249,1.0416,1.0015,1.0034,1589
"glioma_tumor : homogeneity",0.3485,0.221,-0.0861,0.7836,1.0009,1.002,1672
"glioma_tumor : aspect_ratio",-0.0827,0.0861,-0.2473,0.0875,1.0045,1.0141,1504
"glioma_tumor : perimeter",-0.5779,0.1256,-0.8216,-0.3282,1.0002,1.0003,1660
"meningioma_tumor : (Intercept)",1.1967,0.0954,1.0115,1.3882,1.0017,1.0051,1552
"meningioma_tumor : skewness",0.5499,0.1513,0.2577,0.8474,1.0021,1.0059,1605
"meningioma_tumor : kurtosis",-1.5045,0.1904,-1.8749,-1.123,1.0022,1.0059,1736
"meningioma_tumor : energy",-1.0003,0.1069,-1.2122,-0.7921,1.0027,1.0078,1571
"meningioma_tumor : entropy",0.6218,0.1188,0.3899,0.8557,1.006,1.0176,1585
"meningioma_tumor : contrast",-0.5682,0.1164,-0.8004,-0.3416,1.0037,1.0115,1694
"meningioma_tumor : correlation",-0.1452,0.109,-0.3606,0.0666,1.0014,1.0032,1616
"meningioma_tumor : glcm_energy",-0.0944,0.1449,-0.3844,0.1878,1.002,1.0054,1533
"meningioma_tumor : homogeneity",1.9674,0.1766,1.6281,2.3182,1.0006,1.0014,1504
"meningioma_tumor : aspect_ratio",-0.1322,0.0757,-0.2797,0.0154,1.0027,1.0082,1552
"meningioma_tumor : perimeter",0.2241,0.1047,0.0205,0.429,1.0003,1.0007,1503
"pituitary_tumor : (Intercept)",0.5206,0.11,0.3071,0.7392,1.0021,1.0062,1612
"pituitary_tumor : skewness",2.5597,0.2726,2.0399,3.1042,1.0009,1.0028,1663
"pituitary_tumor : kurtosis",-4.3888,0.2692,-4.9195,-3.8683,1.0001,1.0001,1682
"pituitary_tumor : energy",0.1695,0.1226,-0.0669,0.4125,1.0022,1.0058,1637
"pituitary_tumor : entropy",-0.1389,0.157,-0.4411,0.1686,1.0054,1.0157,1531
"pituitary_tumor : contrast",-1.7939,0.2279,-2.2519,-1.3535,1.0021,1.0064,1595
"pituitary_tumor : correlation",-1.8542,0.1324,-2.1094,-1.5879,1.0001,1.0005,1717
"pituitary_tumor : glcm_energy",1.0935,0.1865,0.7302,1.457,1.0019,1.0059,1525
"pituitary_tumor : homogeneity",1.1065,0.2389,0.6401,1.5805,1.0006,1.002,1599
"pituitary_tumor : aspect_ratio",-0.3635,0.0969,-0.5531,-0.1744,1.0043,1.0134,1618
"pituitary_tumor : perimeter",1.6963,0.1284,1.4441,1.9433,1.0005,1.0013,1503
