"parameter","mle","post_A","post_B","shrinkage_A","shrinkage_B"
"glioma_tumor : (Intercept)",0.437,0.4353,0.4501,-0.001,0.014
"glioma_tumor : skewness",5.143,5.1837,4.7444,0.041,-0.398
"glioma_tumor : kurtosis",-5.595,-5.6424,-5.215,-0.047,0.38
"glioma_tumor : energy",-0.409,-0.4183,-0.4232,-0.009,-0.014
"glioma_tumor : entropy",-0.113,-0.1156,-0.1412,-0.002,-0.028
"glioma_tumor : contrast",-3.777,-3.815,-3.5682,-0.038,0.209
"glioma_tumor : correlation",-2.299,-2.3121,-2.1686,-0.014,0.13
"glioma_tumor : glcm_energy",0.652,0.6553,0.5779,0.003,-0.074
"glioma_tumor : homogeneity",0.263,0.272,0.3485,0.009,0.085
"glioma_tumor : aspect_ratio",-0.103,-0.1046,-0.0827,-0.002,0.02
"glioma_tumor : perimeter",-0.592,-0.5948,-0.5779,-0.002,0.015
"meningioma_tumor : (Intercept)",1.238,1.2472,1.1967,0.01,-0.041
"meningioma_tumor : skewness",0.642,0.6529,0.5499,0.011,-0.092
"meningioma_tumor : kurtosis",-1.632,-1.6545,-1.5045,-0.022,0.128
"meningioma_tumor : energy",-1.005,-1.0117,-1.0003,-0.007,0.004
"meningioma_tumor : entropy",0.64,0.648,0.6218,0.008,-0.018
"meningioma_tumor : contrast",-0.604,-0.614,-0.5682,-0.01,0.036
"meningioma_tumor : correlation",-0.212,-0.2148,-0.1452,-0.003,0.067
"meningioma_tumor : glcm_energy",-0.027,-0.0294,-0.0944,-0.003,-0.068
"meningioma_tumor : homogeneity",1.961,1.9791,1.9674,0.018,0.006
"meningioma_tumor : aspect_ratio",-0.149,-0.1517,-0.1322,-0.003,0.017
"meningioma_tumor : perimeter",0.232,0.232,0.2241,0,-0.007
"pituitary_tumor : (Intercept)",0.555,0.5543,0.5206,-0.001,-0.034
"pituitary_tumor : skewness",2.765,2.8111,2.5597,0.046,-0.206
"pituitary_tumor : kurtosis",-4.622,-4.6776,-4.3888,-0.056,0.233
"pituitary_tumor : energy",0.162,0.1628,0.1695,0.001,0.008
"pituitary_tumor : entropy",-0.087,-0.0881,-0.1389,-0.001,-0.052
"pituitary_tumor : contrast",-1.9,-1.927,-1.7939,-0.027,0.106
"pituitary_tumor : correlation",-1.951,-1.9638,-1.8542,-0.013,0.097
"pituitary_tumor : glcm_energy",1.225,1.2257,1.0935,0.001,-0.131
"pituitary_tumor : homogeneity",1.061,1.0673,1.1065,0.006,0.045
"pituitary_tumor : aspect_ratio",-0.386,-0.3908,-0.3635,-0.004,0.023
"pituitary_tumor : perimeter",1.7,1.7134,1.6963,0.013,-0.004
